country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7k,30.5k,32.3k,34.4k,36.3k,37.5k,39.2k,40.4k,40.8k,41.5k,42.5k,42.9k,43.5k,44k,44.2k,44k,44k,43.9k,43.5k,42.8k,42.3k,41k,39.6k,38.3k,37k,36.2k
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6k,33.5k,34.7k,35.8k,36.9k,38k,39.1k,40.1k,40.8k,41.9k,43.1k,44.2k,45.1k,46.4k,47.6k,48.6k,49.5k,50.5k,51k,51.6k,52.1k,52.4k,52.6k,52.9k,53k,53.2k
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1530,1450,1380,1310,1270,1230,1210,1210,1190,1160,1120,1080,1010,931,867,804,746,704,659,628,585,544,503,458,412,372,331,297,271,254,244,246,260,275,282,279
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,425,433,440,433,421,409,402,396,393,392,386,379,363,344,325,304,290,283,281,281,282,282,273,266,260,271,299,317,341,375,399,396,403,403,382,356,339
Argentina,,,,,,,,,,,,,,,,,,,,13.3k,13.5k,13.8k,14k,14.3k,14.6k,15k,15.4k,15.4k,14.7k,13.7k,12.4k,11.3k,10.5k,10.1k,9890,10.2k,10.7k,11.2k,11.5k,11.5k,11.3k,11k,10.7k,10.2k,9540,8910,8380,7950,7780,7810,7780,7600,7340,7110,6970,6660,6380,6000,5720,5470,5270,5180,5100,4920,4800
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,1990,1930,1900,1920,1970,2030,2080,2110,2120,2110,2100,1960,1820,1680,1500,1300,1120,974,841,732,650,594,561,548,556,570,578,578,563,532,505,471,441,413,382,355,324,301
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,14,14,14,14,14,15,15,15,15,15,14,13,12,11,11,10,10,9,9,9,8,8,8,7
Australia,,,,,,,,,,,,,,,,,,3160,3200,3210,3210,3210,3160,3030,2790,2450,2110,1790,1550,1410,1370,1400,1440,1500,1510,1470,1400,1310,1200,1130,1090,1060,1030,1020,978,971,929,909,866,853,847,822,828,818,843,850,865,879,883,871,811,770,725,685,657
Austria,,,,,3010,3100,3190,3250,3280,3240,3130,3000,2890,2770,2660,2560,2460,2380,2320,2260,2140,1990,1780,1550,1340,1150,1000,900,831,784,749,735,709,682,633,568,496,435,392,364,358,363,370,358,343,325,287,265,237,225,222,220,229,229,226,227,217,205,202,193,187,189,184,179,173
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6370,6510,6670,6850,7040,7230,7350,7430,7400,7300,7120,6850,6510,6050,5550,5040,4560,4180,3910,3710,3600,3530,3490,3450,3420,3410,3470,3600,3830,4120,4350,4400,4270
Burundi,,,,,,,,,,,,,,7030,7270,7490,7630,7760,7830,7870,7890,7880,7890,7960,8140,8290,8530,8810,9070,9310,9410,9510,9590,9690,9890,10.1k,10.4k,10.8k,11.1k,11.4k,11.5k,11.5k,11.4k,11.3k,11.2k,11k,10.9k,10.8k,10.8k,10.9k,10.9k,11k,11.3k,11.5k,11.7k,12k,12.3k,12.5k,12.7k,13k,13.1k,13.2k,13.2k,13.3k,13.2k
Belgium,,,,,,,,,,3340,3210,3010,2830,2680,2590,2460,2320,2160,2010,1880,1780,1730,1680,1590,1480,1350,1210,1080,974,889,838,794,765,734,688,661,631,589,561,537,517,500,495,474,461,429,406,370,339,325,316,311,321,319,317,325,319,312,316,304,303,300,283,279,278
Benin,,,,,,,,6290,6370,6460,6560,6680,6820,6950,7060,7160,7260,7350,7470,7610,7710,7830,7970,8090,8190,8290,8380,8510,8640,8810,8930,9070,9210,9390,9570,9730,9870,10k,10.1k,10.3k,10.3k,10.4k,10.6k,10.7k,10.8k,11k,11.1k,11.2k,11.3k,11.3k,11.3k,11.3k,11.4k,11.4k,11.5k,11.5k,11.5k,11.6k,11.7k,11.7k,11.8k,11.8k,11.9k,11.9k,12k
Burkina Faso,,,,,,,,,,,,,,,,,,,17.6k,18.2k,18.5k,18.9k,19.2k,19.3k,19.3k,19.3k,19.2k,19.2k,19.3k,19.5k,19.6k,19.6k,19.6k,19.6k,19.3k,18.9k,18.4k,18.1k,18k,18.2k,18.5k,18.8k,19.2k,19.6k,20k,20.4k,20.8k,21.3k,21.6k,21.8k,21.9k,22k,21.8k,21.6k,21.2k,20.8k,20.6k,20.3k,20.1k,19.6k,19.3k,18.9k,18.6k,18.4k,18.4k
Bangladesh,,,197k,199k,205k,211k,219k,227k,235k,241k,244k,245k,246k,247k,251k,257k,265k,274k,281k,285k,285k,281k,277k,275k,277k,283k,291k,301k,309k,312k,308k,301k,291k,281k,272k,264k,257k,250k,243k,234k,224k,215k,205k,195k,186k,178k,172k,166k,160k,154k,148k,143k,137k,130k,124k,117k,110k,103k,96.8k,91.4k,86.8k,82.9k,79.9k,77.1k,74.4k
Bulgaria,,,,,,,,,,,,,,2900,2850,2840,2840,2810,2750,2700,2670,2660,2660,2650,2610,2560,2470,2350,2220,2070,1920,1770,1620,1480,1380,1320,1310,1320,1340,1350,1310,1210,1080,951,858,810,790,788,774,748,714,677,641,604,575,560,557,559,559,552,514,464,412,367,335
Bahrain,,,,,,,,,,,,,,,,,,,,,255,234,216,203,197,195,198,205,212,214,219,221,224,226,229,230,231,231,229,222,208,188,166,143,122,103,87,76,66,60,54,48,43,39,35,32,29,27,26,25,25,25,26,24,24
